Time,PlayerLocation,PlaterRotation,
2023.10.14-15.47.03.953,X=402314.462 Y=372352.770 Z=1414.941,P=-12.520109 Y=60.065577 R=3.241278,
2023.10.14-15.47.04.010,X=402329.870 Y=372376.421 Z=1422.934,P=-12.562736 Y=62.477680 R=3.071490,
2023.10.14-15.47.04.066,X=402334.660 Y=372384.024 Z=1430.093,P=-12.588412 Y=65.280689 R=3.145677,
2023.10.14-15.47.04.122,X=402334.660 Y=372384.024 Z=1430.093,P=-12.585677 Y=68.127640 R=2.678247,
2023.10.14-15.47.04.180,X=402334.660 Y=372384.024 Z=1430.093,P=-11.649296 Y=70.685594 R=1.926888,
2023.10.14-15.47.04.235,X=402334.660 Y=372384.024 Z=1430.093,P=-10.374667 Y=72.667120 R=1.419494,
2023.10.14-15.47.04.284,X=402334.660 Y=372384.024 Z=1430.093,P=-8.645587 Y=74.421112 R=1.545670,
2023.10.14-15.47.04.341,X=402334.660 Y=372384.024 Z=1430.093,P=-7.125405 Y=76.569159 R=0.960540,
2023.10.14-15.47.04.394,X=402334.660 Y=372384.024 Z=1430.093,P=-5.246641 Y=78.903522 R=0.855008,
2023.10.14-15.47.04.449,X=402334.660 Y=372384.024 Z=1430.093,P=-3.418434 Y=81.337941 R=1.618036,
2023.10.14-15.47.04.502,X=402334.660 Y=372384.024 Z=1430.093,P=-1.426697 Y=84.176452 R=1.393959,
2023.10.14-15.47.04.555,X=402334.660 Y=372384.024 Z=1430.093,P=0.322678 Y=86.043190 R=1.707426,
2023.10.14-15.47.04.609,X=402334.660 Y=372384.024 Z=1430.093,P=2.230609 Y=87.827918 R=2.300449,
2023.10.14-15.47.04.661,X=402334.660 Y=372384.024 Z=1430.093,P=3.799295 Y=88.537622 R=1.976968,
2023.10.14-15.47.04.713,X=402334.660 Y=372384.024 Z=1430.093,P=5.572602 Y=88.713278 R=2.053839,
2023.10.14-15.47.04.758,X=402334.660 Y=372384.024 Z=1430.093,P=7.230797 Y=88.704242 R=3.143596,
2023.10.14-15.47.04.802,X=402334.660 Y=372384.024 Z=1430.093,P=7.542249 Y=88.536872 R=3.853336,
2023.10.14-15.47.04.848,X=402334.660 Y=372384.024 Z=1430.093,P=7.697042 Y=88.304446 R=3.847475,
2023.10.14-15.47.04.893,X=402334.660 Y=372384.024 Z=1430.093,P=7.921003 Y=88.203840 R=3.718784,
2023.10.14-15.47.04.934,X=402334.660 Y=372384.024 Z=1430.093,P=8.360592 Y=88.162095 R=3.603248,
2023.10.14-15.47.04.979,X=402333.941 Y=372386.324 Z=1431.539,P=8.633184 Y=88.052267 R=3.580088,
